,MOVIE NAME,GENRE,RUN TIME,STORY,RATING
0,The Godfather,"<span class=""genre"">
Crime, Drama            </span>","<span class=""runtime"">175 min</span>","<p class="""">
The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.</p>","<span class=""ipl-rating-star__rating"">9.2</span>"
1,Schindler's List,"<span class=""genre"">
Biography, Drama, History            </span>","<span class=""runtime"">195 min</span>","<p class="""">
In German-occupied Poland during World War II, industrialist <a href=""/name/nm0771861"">Oskar Schindler</a> gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.</p>","<span class=""ipl-rating-star__rating"">9</span>"
2,12 Angry Men,"<span class=""genre"">
Crime, Drama            </span>","<span class=""runtime"">96 min</span>","<p class="""">
The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.</p>","<span class=""ipl-rating-star__rating"">9</span>"
3,La vita è bella,"<span class=""genre"">
Comedy, Drama, Romance            </span>","<span class=""runtime"">116 min</span>","<p class="""">
When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.</p>","<span class=""ipl-rating-star__rating"">8.6</span>"
4,"Il buono, il brutto, il cattivo","<span class=""genre"">
Adventure, Western            </span>","<span class=""runtime"">161 min</span>","<p class="""">
A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.</p>","<span class=""ipl-rating-star__rating"">8.8</span>"
5,The Shawshank Redemption,"<span class=""genre"">
Drama            </span>","<span class=""runtime"">142 min</span>","<p class="""">
Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.</p>","<span class=""ipl-rating-star__rating"">9.3</span>"
6,The Pursuit of Happyness,"<span class=""genre"">
Biography, Drama            </span>","<span class=""runtime"">117 min</span>","<p class="""">
A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.</p>","<span class=""ipl-rating-star__rating"">8</span>"
7,Shichinin no samurai,"<span class=""genre"">
Action, Drama            </span>","<span class=""runtime"">207 min</span>","<p class="""">
Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.</p>","<span class=""ipl-rating-star__rating"">8.6</span>"
8,The Intouchables,"<span class=""genre"">
Biography, Comedy, Drama            </span>","<span class=""runtime"">112 min</span>","<p class="""">
After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.</p>","<span class=""ipl-rating-star__rating"">8.5</span>"
9,Central do Brasil,"<span class=""genre"">
Drama            </span>","<span class=""runtime"">110 min</span>","<p class="""">
The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew.</p>","<span class=""ipl-rating-star__rating"">8</span>"
10,Requiem for a Dream,"<span class=""genre"">
Drama            </span>","<span class=""runtime"">102 min</span>","<p class="""">
The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.</p>","<span class=""ipl-rating-star__rating"">8.3</span>"
11,A Beautiful Mind,"<span class=""genre"">
Biography, Drama            </span>","<span class=""runtime"">135 min</span>","<p class="""">
After <a href=""/name/nm1171285"">John Nash</a>, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.</p>","<span class=""ipl-rating-star__rating"">8.2</span>"
